Site Code,Site Name,Site Responsible,Site Latitude,Site Longitude,IGBP Cde
AE-ADb,Abu Dhabi Eastern Mangroves,Annalisa Molini,24.450883,54.428792,WET
AT-Fue,Fuegen,Georg Wohlfahrt,47.367374,11.854709,GRA
AT-Hnb,Höllengebirge,Bradley Matthews,47.803333,13.591389,BSV
AT-Inn,Innsbruck,Thomas Karl,47.264096,11.385816,URB
AT-Lan,Laengenfeld,Georg Wohlfahrt,47.061221,10.963454,GRA
AT-Leu,Leutasch,Georg Wohlfahrt,47.378036,11.16278,GRA
AT-Mmg,Mieming,Georg Wohlfahrt,47.316564,10.970089,ENF
AT-Neu,Neustift,Georg Wohlfahrt,47.1166687,11.31750011,GRA
AT-Rtz,Rotholz,Georg Wohlfahrt,47.39472222,11.80472222,GRA
AT-Sch,Scharnitz,Georg Wohlfahrt,47.387291,11.247935,GRA
AT-StA,Stubai Abandoned,Michael Bahn,47.12528,11.28944,GRA
AT-StM,Stubai Meadow,Michael Bahn,47.12889,11.30583,GRA
AT-StP,Stubai Pasture,Michael Bahn,47.13694,11.30361,GRA
AT-VnA,Vienna_Arsenal,Bradley Matthews,48.18183766,16.39085089,URB
BE-Bra,Brasschaat,Ivan Janssens| EFDC Staff,51.30761,4.51984,MF
BE-Dor,Dorinne,Bernard Heinesch,50.311928,4.968011,GRA
BE-Jal,La Robinette (Jalhay),Monique Carnol,50.56388889,6.073333333,MF
BE-Lcr,Lochristi,Reinhart Ceulemans| Tim De Meulder,51.11218,3.85043,DBF
BE-Lon,Lonzee,Bernard Heinesch| EFDC Staff,50.5516198,4.7462339,CRO
BE-Maa,Maasmechelen,Marilyn Roland,50.9801111,5.6318611,CSH
BE-Vie,Vielsalm,Caroline Vincke,50.304962,5.998099,MF
BF-Bon,Bontioli,Ulrike Falk,10.865556,-3.072778,SAV
BF-Btd,Boudtenga,Ulrike Falk,12.46,-1.25,CRO
BG-Crp,Chirpan,Eram Artinyan,42.2149,25.2817,CRO
BG-Rzn,Rozhen,Eram Artinyan,41.6947,24.7387,ENF
BJ-Nan,Nangatchori,Laurent Kergoat,9.646983333,1.740883333,CRO
BW-GhG,Ghanzi Grass Site,Christopher Williams,-21.51,21.74,GRA
BW-GhM,Ghanzi Mixed Site,Christopher Williams,-21.2,21.75,SAV
BW-Ghz,Ghanzi/Okwa River Crossing,Almut Arneth,-22.40916667,21.71305556,OSH
BW-Gum,Guma,Carole Helfter,-18.96472222,22.37111111,WET
BW-Kvb,Kavimba,Peter Eliasson,-18.1076,24.637,SAV
BW-Ma1,Maun,Almut Arneth| Elmar Veenendaal,-19.9165,23.56033333,SAV
BW-Mkt,Maun - Kalahari Transect,Almut Arneth,-19.923,23.594,SAV
BW-Nxr,Nxaraga,Carole Helfter,-19.54805556,23.17916667,GRA
CA-Da1,Daring Lake,Elyn Humphreys,64.8689,-111.5748,OSH
CA-Da2,Daring Lake Fen,Elyn Humphreys,64.8648,-111.5748,WET
CD-Ygb,Yangambi,Pascal Boeckx,0.814473,24.502526,EBF
CG-Hin,Hinda,Yann Nouvellon,-4.68111111,12.0036111,EBF
CG-Kis,Kissoko,Yann Nouvellon,-4.791388889,11.98222222,EBF
CG-Tch,Tchizalamou,Blandine Caquet,-4.289166667,11.65641667,SAV
CH-Aws,Alp Weissenstein,Nina Buchmann,46.583194,9.790417,GRA
CH-BaA,Basel Aeschenplatz,Christian Feigenwinter,47.55123,7.5956,URB
CH-BaK,Basel Klingelbergstrasse,Christian Feigenwinter,47.56173,7.58049,URB
CH-Cha,Chamau,Nina Buchmann| EFDC Staff,47.21022222,8.410444444,GRA
CH-Dav,Davos,Nina Buchmann| EFDC Staff,46.81533,9.85591,ENF
CH-Dsc,Dischma,Lutz Merbold,46.7896991,9.864438203,GRA
CH-Frk,Furka,Georg Wohlfahrt,46.577752,8.421466,GRA
CH-Fru,Früebüel ,Nina Buchmann| EFDC Staff,47.11583333,8.537777778,GRA
CH-Lae,Laegern,Nina Buchmann,47.478333,8.364389,MF
CH-Oe1,Oensingen grassland,Ammann Christoph ,47.28583333,7.731944444,GRA
CH-Oe2,Oensingen crop,Nina Buchmann,47.286417,7.73375,CRO
CH-Rtb,Rietholzbach,Sonia I. Seneviratne,47.38045,8.99348,GRA
CH-See,Seebodenalp,Werner Eugster,47.0567,8.4644,GRA
CR-AqC,Aquiares Coffee-Flux,Olivier Roupsard,9.93833,-83.72861,EBF
CZ-BK1,Bily Kriz forest,Ladislav Sigut,49.50207615,18.53688247,ENF
CZ-BK2,Bily Kriz grassland,Marian Pavelka,49.49443,18.54285,GRA
CZ-KrP,Kresin u Pacova,Manuel Acosta,49.573257,15.078773,CRO
CZ-Lnz,Lanzhot,Natalia Kowalska,48.681611,16.946416,MF
CZ-RAJ,Rajec,Ladislav Sigut,49.4437236,16.6965125,ENF
CZ-Stn,Stitna,Ladislav Sigut,49.035975,17.9699,DBF
CZ-wet,Trebon (CZECHWET),Jiri Dusek,49.02465,14.77035,WET
DE-Akm,Anklam,Christian Bernhofer,53.86617,13.68342,WET
DE-Bay,Bayreuth,Christoph K Thomas,50.14194,11.86694,ENF
DE-Bou,Bourtanger Moor,Christian Brümmer,52.655284,7.183765,WET
DE-Brs,Braunschweig,Mathias Herbst,52.29663,10.44871,CRO
DE-Dgw,Dagowsee,Torsten Sachs,53.1514092,13.0542746,WAT
DE-Fen,Fendt,Rainer Steinbrecher| Hans Peter Schmid ,47.83287,11.06068,GRA
