ID,IGBP,LAT,LON,START,END,IRGA,SA,INST_H,CANOPY_H,KOPPEN,ELEV,PLANT,COUNTRY,LAND,SYSTEMS,HEIGHT_R,TIER
AR-SLu,MF,-33.4648,-66.4598,2009-01-01 00:00:00,2011-12-31 23:30:00,LI-7500,CSAT-3,9.0,4.5,BSh - Arid Steppe hot,505,,Argentina,South America,O,2.0,1
AR-Vir,ENF,-28.2395,-56.1886,2009-01-01 00:00:00,2012-12-31 23:30:00,LI-7500,CSAT3,18.0,12.0,Cfa - Warm temperate fully humid with hot summer,105,,Argentina,South America,O,1.5,1
AT-Neu,GRA,47.11667,11.3175,2002-01-01 00:00:00,2012-12-31 23:30:00,LI-6262,R3IA,3.0,0.76,Dfc - Snow fully humid cool summer,1095,Evergreen Broadleaf Trees,Austria,Europe,C,3.9473684210526314,1
AU-Ade,WSA,-13.0769,131.1178,2007-01-01 00:00:00,2009-12-31 23:30:00,LI-7500,CSAT3,16.5,12.5,Aw - Equatorial savannah with dry winter,76,Grass,Australia,Australia/Oceania,O,1.32,1
AU-ASM,ENF,-22.283,133.249,2010-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,CSAT3,11.7,6.5,BSh - Arid Steppe hot,606,Shrub,Australia,Australia/Oceania,O,1.7999999999999998,1
AU-Cpr,SAV,-34.0021,140.5891,2010-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,CSAT3,20.0,4.0,BSk - Arid Steppe cold,63,Shrub,Australia,Australia/Oceania,O,5.0,1
AU-Cum,EBF,-33.61518,150.72362,2012-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,CSAT3,29.0,23.0,Cfa - Warm temperate fully humid with hot summer,26,Evergreen Broadleaf Trees,Australia,Australia/Oceania,O,1.2608695652173914,1
AU-DaP,GRA,-14.0633,131.3181,2007-01-01 00:00:00,2013-12-31 23:30:00,LI-7500,CSAT3,15.0,0.3,Aw - Equatorial savannah with dry winter,102,Grass,Australia,Australia/Oceania,O,50.0,1
AU-DaS,SAV,-14.1593,131.3881,2008-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,CSAT3,23.0,16.4,Aw - Equatorial savannah with dry winter,98,Grass,Australia,Australia/Oceania,O,1.402439024390244,1
AU-Dry,SAV,-15.2588,132.3706,2008-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,CSAT3,15.0,12.3,Aw - Equatorial savannah with dry winter,177,Grass,Australia,Australia/Oceania,O,1.2195121951219512,1
AU-Emr,GRA,-23.8587,148.4746,2011-01-01 00:00:00,2013-12-31 23:30:00,LI-7500,CSAT3,6.7,0.4,BSh - Arid Steppe hot,176,,Australia,Australia/Oceania,O,16.75,1
AU-Fog,WET,-12.5452,131.3072,2006-01-01 00:00:00,2008-12-31 23:30:00,LI-7500,CSAT3,14.5,1.5,Aw - Equatorial savannah with dry winter,25,Grass,Australia,Australia/Oceania,O,9.666666666666666,1
AU-Gin,WSA,-31.3764,115.7138,2011-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,CSAT3,14.8,7.0,"Csa - Warm temperate with dry, hot summer",51,Shrub,Australia,Australia/Oceania,O,2.1142857142857143,1
AU-GWW,SAV,-30.1913,120.6541,2013-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,CSAT3,35.0,18.0,BWh - Arid desert hot,448,,Australia,Australia/Oceania,O,1.9444444444444444,1
AU-How,WSA,-12.4943,131.1523,2001-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,CSAT3,23.0,15.0,Aw - Equatorial savannah with dry winter,41,Grass,Australia,Australia/Oceania,O,1.5333333333333334,1
AU-Lox,DBF,-34.4704,140.6551,2008-01-01 00:00:00,2009-12-31 23:30:00,LI-7500,CSAT3,10.0,5.5,BSh - Arid Steppe hot,45,,Australia,Australia/Oceania,O,1.8181818181818181,1
AU-RDF,WSA,-14.5636,132.4776,2011-01-01 00:00:00,2013-12-31 23:30:00,LI-7500,CSAT3,21.5,16.4,Aw - Equatorial savannah with dry winter,187,,Australia,Australia/Oceania,O,1.3109756097560976,1
AU-Rig,GRA,-36.6499,145.5759,2011-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,CSAT3,2.5,0.4,Cfb - Warm temperate fully humid with warm summer,151,Cereal crop,Australia,Australia/Oceania,O,6.25,1
AU-Rob,EBF,-17.1175,145.6301,2014-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,CSAT3,40.0,28.0,Am - Equatorial monsoon,710,,Australia,Australia/Oceania,O,1.4285714285714286,1
AU-Stp,GRA,-17.1507,133.3502,2008-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,CSAT3,4.8,0.2,BSh - Arid Steppe hot,229,Grass,Australia,Australia/Oceania,O,23.999999999999996,1
AU-TTE,OSH,-22.287,133.64,2012-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,CSAT3,9.81,4.85,BWh - Arid desert hot,552,Shrub,Australia,Australia/Oceania,O,2.0226804123711344,1
AU-Tum,EBF,-35.6566,148.1517,2001-01-01 00:00:00,2014-12-31 23:00:00,LI-7500,HS,70.0,40.0,Cfb - Warm temperate fully humid with warm summer,932,Evergreen Broadleaf Trees,Australia,Australia/Oceania,O,1.75,1
AU-Wac,EBF,-37.4259,145.1878,2005-01-01 00:00:00,2008-12-31 23:30:00,LI-7500,CSAT3,115.0,70.0,Cfb - Warm temperate fully humid with warm summer,562,Evergreen Broadleaf Trees,Australia,Australia/Oceania,O,1.6428571428571428,1
AU-Whr,EBF,-36.6732,145.0294,2011-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,CSAT3,36.0,28.0,Cfb - Warm temperate fully humid with warm summer,151,Shrub,Australia,Australia/Oceania,O,1.2857142857142858,1
AU-Wom,EBF,-37.4222,144.0944,2010-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,CSAT3,30.0,25.0,Cfb - Warm temperate fully humid with warm summer,714,Evergreen Broadleaf Trees,Australia,Australia/Oceania,O,1.2,1
AU-Ync,GRA,-34.9893,146.2907,2012-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,CSAT3,8.0,0.5,BSk - Arid Steppe cold,125,Cereal crop,Australia,Australia/Oceania,O,16.0,1
